,Image,YOLO_inference_time,num_bbox,OODL_feat_extraction_time,OSVM_inference_time,OOD_object_present
1546,001546.png,1367.048,4.0,5700.185,0.481,0.0
1547,001547.png,1345.934,1.0,1465.466,0.39,1.0
1548,001548.png,1362.122,4.0,5629.925,0.636,2.0
1549,001549.png,1349.414,8.0,12246.574,1.312,1.0
1550,001550.png,1344.183,8.0,12190.425,0.801,0.0
1551,001551.png,1349.934,1.0,1508.3,0.279,1.0
1552,001552.png,1361.991,7.0,10047.132,0.666,0.0
1553,001553.png,1358.707,2.0,2729.48,0.374,0.0
1554,001554.png,1347.155,11.0,15774.748,4.108,0.0
1555,001555.png,1344.659,,,,0.0
1556,001556.png,1355.472,3.0,4029.489,0.433,0.0
1557,001557.png,1338.552,7.0,9590.35,1.185,0.0
1558,001558.png,1346.901,4.0,8060.559,1.713,0.0
1559,001559.png,1377.869,11.0,18623.504,1.545,0.0
1560,001560.png,1315.698,4.0,5435.588,0.499,0.0
1561,001561.png,1318.828,1.0,1392.493,0.329,0.0
1562,001562.png,1315.649,3.0,4115.489,0.418,3.0
1563,001563.png,1308.779,,,,3.0
1564,001564.png,1305.991,1.0,1382.319,0.347,1.0
1565,001565.png,1318.136,3.0,4062.627,0.412,1.0
1566,001566.png,1322.136,14.0,22336.507,2.38,0.0
1567,001567.png,1306.142,1.0,1449.253,0.311,0.0
1568,001568.png,1313.994,9.0,13167.56,1.047,0.0
1569,001569.png,1323.827,2.0,2695.765,0.346,0.0
1570,001570.png,1328.485,2.0,2733.763,1.11,0.0
1571,001571.png,1378.588,8.0,11393.802,0.757,0.0
1572,001572.png,1343.175,2.0,2702.766,0.352,0.0
1573,001573.png,1365.98,10.0,13878.007,1.245,0.0
1574,001574.png,1338.748,1.0,1384.51,0.3,0.0
1575,001575.png,1370.806,5.0,6691.078,0.616,0.0
1576,001576.png,1315.41,3.0,4001.54,0.406,1.0
1577,001577.png,1318.977,2.0,2688.011,0.347,2.0
1578,001578.png,1318.324,,,,2.0
1579,001579.png,1318.535,4.0,5333.731,0.477,3.0
1580,001580.png,1321.978,1.0,1382.351,0.274,1.0
1581,001581.png,1320.782,7.0,9431.036,0.665,0.0
1582,001582.png,1321.876,1.0,1399.449,0.284,0.0
1583,001583.png,1310.65,3.0,4021.217,0.414,2.0
1584,001584.png,1307.833,1.0,1378.862,0.283,0.0
1585,001585.png,1320.668,2.0,2689.031,0.371,0.0
1586,001586.png,1319.965,3.0,4042.45,0.412,0.0
1587,001587.png,1312.952,3.0,4025.038,0.421,0.0
1588,001588.png,1318.127,2.0,2694.484,0.347,1.0
1589,001589.png,1318.783,5.0,7036.821,0.555,0.0
1590,001590.png,1316.565,2.0,2741.89,0.342,0.0
1591,001591.png,1320.116,7.0,10055.594,1.286,0.0
1592,001592.png,1318.609,2.0,2670.747,0.35,1.0
1593,001593.png,1320.254,3.0,3957.174,0.454,0.0
1594,001594.png,1320.452,9.0,12779.948,0.808,0.0
1595,001595.png,1323.257,12.0,16814.611,2.036,0.0
1596,001596.png,1321.387,3.0,3964.011,0.403,2.0
1597,001597.png,1314.935,1.0,1359.301,0.277,1.0
1598,001598.png,1321.041,3.0,3932.786,0.409,2.0
1599,001599.png,1321.041,3.0,3942.066,0.42,0.0
1600,001600.png,1324.699,1.0,1361.348,0.281,1.0
1601,001601.png,1309.442,,,,1.0
1602,001602.png,1317.161,6.0,7962.639,0.604,0.0
1603,001603.png,1317.695,2.0,2646.847,0.436,0.0
1604,001604.png,1322.677,11.0,15747.042,2.257,0.0
1605,001605.png,1316.157,2.0,2668.602,0.341,1.0
1606,001606.png,1320.968,11.0,15490.371,1.656,2.0
1607,001607.png,1323.62,9.0,13108.693,0.796,3.0
1608,001608.png,1317.983,,,,3.0
1609,001609.png,1316.458,2.0,2687.83,0.384,1.0
1610,001610.png,1306.079,4.0,5336.756,0.498,1.0
1611,001611.png,1320.084,1.0,1379.824,0.293,0.0
1612,001612.png,1310.33,7.0,9279.734,0.721,0.0
1613,001613.png,1318.783,9.0,12212.328,0.862,1.0
1614,001614.png,1320.262,5.0,6667.215,0.639,4.0
1615,001615.png,1331.215,4.0,5309.555,0.488,2.0
1616,001616.png,1320.286,1.0,1384.233,0.275,0.0
1617,001617.png,1320.08,11.0,15300.734,1.663,0.0
1618,001618.png,1319.117,4.0,5268.041,0.475,0.0
1619,001619.png,1318.562,3.0,3938.819,0.417,3.0
1620,001620.png,1313.404,1.0,1357.368,0.279,1.0
1621,001621.png,1316.798,3.0,3959.481,0.407,2.0
1622,001622.png,1313.326,1.0,1361.848,0.286,1.0
1623,001623.png,1317.1,3.0,3957.222,0.417,0.0
1624,001624.png,1312.152,,,,0.0
1625,001625.png,1309.342,3.0,3964.616,0.407,0.0
1626,001626.png,1314.765,2.0,2954.045,0.345,0.0
1627,001627.png,1317.794,1.0,1362.203,0.299,1.0
1628,001628.png,1303.09,4.0,6126.733,0.589,0.0
1629,001629.png,1320.277,1.0,1379.803,0.278,1.0
1630,001630.png,1317.932,1.0,1376.907,0.273,0.0
1631,001631.png,1422.06,8.0,11888.056,0.806,0.0
1632,001632.png,1362.073,2.0,2671.948,0.371,0.0
1633,001633.png,1332.085,3.0,3972.935,0.461,0.0
1634,001634.png,1318.198,1.0,1360.868,0.272,1.0
1635,001635.png,1323.558,7.0,9897.235,0.668,0.0
1636,001636.png,1321.74,3.0,4066.667,0.423,0.0
1637,001637.png,1322.635,6.0,8066.629,0.618,5.0
1638,001638.png,1316.693,,,,5.0
1639,001639.png,1324.803,5.0,6699.244,0.547,0.0
1640,001640.png,1316.14,1.0,1390.145,0.271,0.0
1641,001641.png,1306.786,11.0,15507.163,1.756,0.0
1642,001642.png,1319.767,3.0,3954.083,0.415,2.0
1643,001643.png,1722.193,3.0,3935.491,0.664,0.0
1644,001644.png,1393.757,1.0,1376.19,0.289,1.0
1645,001645.png,1514.974,6.0,7970.003,0.614,0.0
1646,001646.png,1751.898,2.0,2693.26,0.359,0.0
1647,001647.png,1601.08,3.0,3999.139,0.417,2.0
1648,001648.png,1420.392,3.0,4000.88,0.418,0.0
1649,001649.png,1319.781,,,,0.0
1650,001650.png,1320.921,9.0,12371.949,0.94,0.0
1651,001651.png,1316.56,1.0,1404.734,0.3,0.0
1652,001652.png,1320.724,4.0,5323.351,0.524,0.0
1653,001653.png,1317.886,,,,0.0
1654,001654.png,1327.853,2.0,2695.778,0.382,0.0
1655,001655.png,1351.381,8.0,10685.638,0.749,0.0
1656,001656.png,1330.04,1.0,1389.73,0.277,0.0
1657,001657.png,1320.378,2.0,2678.769,0.373,0.0
1658,001658.png,1320.107,22.0,33668.707,3.756,1.0
1659,001659.png,1311.168,9.0,12423.376,0.815,0.0
1660,001660.png,1305.549,2.0,2711.819,1.268,0.0
1661,001661.png,1317.566,4.0,5302.931,0.485,4.0
1662,001662.png,1305.962,5.0,6654.929,0.544,1.0
1663,001663.png,1303.534,3.0,4006.061,0.405,2.0
1664,001664.png,1318.351,2.0,2846.044,0.355,0.0
1665,001665.png,1311.686,1.0,1389.85,0.278,1.0
1666,001666.png,1315.54,2.0,2708.919,0.349,1.0
1667,001667.png,1316.055,1.0,1373.786,0.319,0.0
1668,001668.png,1314.102,4.0,5360.63,0.585,0.0
1669,001669.png,1315.943,5.0,7086.448,0.653,2.0
1670,001670.png,1317.506,9.0,12925.723,0.833,8.0
1671,001671.png,1322.409,6.0,7952.124,0.698,0.0
1672,001672.png,1325.174,9.0,12278.456,0.799,0.0
1673,001673.png,1319.951,3.0,4015.056,0.419,3.0
1674,001674.png,1323.929,12.0,16757.799,1.038,0.0
1675,001675.png,1331.834,3.0,3963.246,0.457,0.0
1676,001676.png,1330.353,1.0,1364.476,0.29,1.0
1677,001677.png,1327.635,7.0,9215.464,0.657,4.0
1678,001678.png,1314.083,6.0,7897.689,0.606,0.0
1679,001679.png,1324.814,5.0,6586.193,0.538,3.0
1680,001680.png,1319.944,8.0,11582.101,0.906,0.0
1681,001681.png,1309.234,,,,0.0
1682,001682.png,1314.589,13.0,18818.181,1.775,0.0
1683,001683.png,1322.175,6.0,8505.012,0.776,0.0
1684,001684.png,1315.935,1.0,1387.032,0.29,1.0
1685,001685.png,1311.403,12.0,16633.358,1.139,1.0
1686,001686.png,1318.363,1.0,1387.31,0.276,0.0
1687,001687.png,1324.066,4.0,5267.6,0.501,4.0
1688,001688.png,1316.078,11.0,15264.744,1.797,0.0
1689,001689.png,1317.928,4.0,5296.54,0.48,0.0
1690,001690.png,1320.177,2.0,2685.216,0.354,0.0
1691,001691.png,1322.79,10.0,13646.915,1.042,0.0
1692,001692.png,2038.487,6.0,7928.338,0.698,0.0
1693,001693.png,1736.284,9.0,12218.446,1.224,0.0
1694,001694.png,1342.072,2.0,2692.285,0.388,0.0
1695,001695.png,1320.258,5.0,6652.087,0.549,0.0
1696,001696.png,1319.589,7.0,9276.858,0.665,0.0
1697,001697.png,1325.523,16.0,23814.916,2.535,1.0
1698,001698.png,1320.31,,,,1.0
1699,001699.png,1450.122,6.0,8034.399,0.628,0.0
